value,scope,type,description,column_format
ngsParticipationTECount,GAME_EVENT,INT,NGS Participation TE Count,event.ngsParticipationTECount
ngsParticipationSpecialSnap,GAME_EVENT_ENTITY,FLAG,NGS Participation Player Special Teams Snap,event.ngsParticipationSpecialSnap
ngsParticipationSnap,GAME_EVENT_ENTITY,FLAG,NGS Participation Player Snap,event.ngsParticipationSnap
ngsParticipationRBCount,GAME_EVENT,INT,NGS Participation RB Count,event.ngsParticipationRBCount
ngsParticipationQBCount,GAME_EVENT,INT,NGS Participation QB Count,event.ngsParticipationQBCount
ngsParticipationOLCount,GAME_EVENT,INT,NGS Participation OL Count,event.ngsParticipationOLCount
ngsParticipationOffenseSnap,GAME_EVENT_ENTITY,FLAG,NGS Participation Player Offensive Snap,event.ngsParticipationOffenseSnap
ngsParticipationLBCount,GAME_EVENT,INT,NGS Participation LB Count,event.ngsParticipationLBCount
ngsParticipationHBCount,GAME_EVENT,INT,NGS Participation HB Count,event.ngsParticipationHBCount
ngsParticipationFBCount,GAME_EVENT,INT,NGS Participation FB Count,event.ngsParticipationFBCount
ngsParticipationDLCount,GAME_EVENT,INT,NGS Participation DL Count,event.ngsParticipationDLCount
ngsParticipationDefenseSnap,GAME_EVENT_ENTITY,FLAG,NGS Participation Player Defensive Snap,event.ngsParticipationDefenseSnap
ngsParticipationDBCount,GAME_EVENT,INT,NGS Participation DB Count,event.ngsParticipationDBCount
ngsOffenseTouchdownProbability,GAME_EVENT,FLOAT,NULL,event.ngsOffenseTouchdownProbability
ngsOffenseSuccessProbability,GAME_EVENT,FLOAT,NULL,event.ngsOffenseSuccessProbability
ngsOffenseFirstDownProbability,GAME_EVENT,FLOAT,NULL,event.ngsOffenseFirstDownProbability
ngsNearestDefenderToQBWasBlitzing,GAME_EVENT,FLAG,NULL,event.ngsNearestDefenderToQBWasBlitzing
ngsNearestDefenderToQBSideOfCenter,GAME_EVENT,ENUM,NULL,event.ngsNearestDefenderToQBSideOfCenter
ngsNearestDefenderToQBSeparationToQB,GAME_EVENT,FLOAT,NULL,event.ngsNearestDefenderToQBSeparationToQB
ngsNearestDefenderToQBPositionGroup,GAME_EVENT,ENUM,NULL,event.ngsNearestDefenderToQBPositionGroup
ngsNearestDefenderToQBLinedUpInBox,GAME_EVENT,FLAG,NULL,event.ngsNearestDefenderToQBLinedUpInBox
ngsNearestDefenderToQBDefenderLocationType,GAME_EVENT,ENUM,NULL,event.ngsNearestDefenderToQBDefenderLocationType
ngsNearestDefenderToQB,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsNearestDefenderToQB
ngsLineSetToSnapTime,GAME_EVENT,INT,NULL,event.ngsLineSetToSnapTime
ngsInPassRush,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsInPassRush
ngsInPassBlock,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsInPassBlock
ngsInCoverage,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsInCoverage
ngsFirstContactToTackleTime,GAME_EVENT,INT,NULL,event.ngsFirstContactToTackleTime
ngsDefenderWasBlitzing,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsDefenderWasBlitzing
ngsDefenderRunStuff,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsDefenderRunStuff
ngsDefenderPressureCausedTurnover,GAME_EVENT,FLAG,NULL,event.ngsDefenderPressureCausedTurnover
ngsDefenderPressure,GAME_EVENT,FLAG,NULL,event.ngsDefenderPressure
ngsDefenderPassDefended,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsDefenderPassDefended
ngsDefenderLinedUpInTheBox,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsDefenderLinedUpInTheBox
ngsDefenderLinedUpInBoxCount,GAME_EVENT,INT,NULL,event.ngsDefenderLinedUpInBoxCount
ngsDefenderDBBlitzCount,GAME_EVENT,INT,NULL,event.ngsDefenderDBBlitzCount
ngsDefenderCausedPressure,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsDefenderCausedPressure
ngsDefenderBlitzCount,GAME_EVENT,INT,NULL,event.ngsDefenderBlitzCount
ngsBallLocationAbsAtSnapY,GAME_EVENT,FLOAT,NULL,event.ngsBallLocationAbsAtSnapY
ngsBallLocationAbsAtSnapX,GAME_EVENT,FLOAT,NULL,event.ngsBallLocationAbsAtSnapX
ngsBallCarrierLocationSticksMidOffsetAtPlayEndX,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationSticksMidOffsetAtPlayEndX
ngsBallCarrierLocationSticksMidOffsetAtFirstContactX,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationSticksMidOffsetAtFirstContactX
ngsBallCarrierLocationLOSMidOffsetAtPlayEndY,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationLOSMidOffsetAtPlayEndY
ngsBallCarrierLocationLOSMidOffsetAtFirstContactY,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationLOSMidOffsetAtFirstContactY
ngsBallCarrierLocationBallSnapOffsetAtPlayEndY,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationBallSnapOffsetAtPlayEndY
ngsBallCarrierLocationBallSnapOffsetAtPlayEndX,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationBallSnapOffsetAtPlayEndX
ngsBallCarrierLocationBallSnapOffsetAtFirstContactY,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationBallSnapOffsetAtFirstContactY
ngsBallCarrierLocationBallSnapOffsetAtFirstContactX,GAME_EVENT,FLOAT,NULL,event.ngsBallCarrierLocationBallSnapOffsetAtFirstContactX
ngsAirYardsToSticks,GAME_EVENT,FLOAT,NULL,event.ngsAirYardsToSticks
ngsAirYardsRounded,GAME_EVENT,INT,NULL,event.ngsAirYardsRounded
ngsAirYards,GAME_EVENT,FLOAT,NULL,event.ngsAirYards
ngsAirDistance,GAME_EVENT,FLOAT,NULL,event.ngsAirDistance
espnNGSPlayerMetricsTargetRouteTypeId,GAME_EVENT,INT,Target Route Type Id,event.espnNGSPlayerMetricsTargetRouteTypeId
espnNGSPlayerMetricsTargetRouteSide,GAME_EVENT,ENUM,ESPN NGS Player Metrics Target Route Side,event.espnNGSPlayerMetricsTargetRouteSide
espnNGSPlayerMetricsTargetRouteRecNumber,GAME_EVENT,INT,ESPN NGS Player Metrics Target Route Rec Number,event.espnNGSPlayerMetricsTargetRouteRecNumber
espnNGSPlayerMetricsTargetRouteRank,GAME_EVENT,INT,ESPN NGS Player Metrics Target Route Rank,event.espnNGSPlayerMetricsTargetRouteRank
espnNGSPlayerMetricsTargetRouteMaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Target Route Max Depth,event.espnNGSPlayerMetricsTargetRouteMaxDepth
espnNGSPlayerMetricsTargetRouteJet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Target Route Jet,event.espnNGSPlayerMetricsTargetRouteJet
espnNGSPlayerMetricsTargetRouteGroupTypeCode,GAME_EVENT,ENUM,Target Route Group Type Code,event.espnNGSPlayerMetricsTargetRouteGroupTypeCode
espnNGSPlayerMetricsTargetRouteGroup,GAME_EVENT,ENUM,ESPN NGS Player Metrics Target Route Group,event.espnNGSPlayerMetricsTargetRouteGroup
espnNGSPlayerMetricsTargetRouteDefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Target Route Defender Player Id,event.espnNGSPlayerMetricsTargetRouteDefenderId
espnNGSPlayerMetricsTargetRouteDefender,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Target Route Defender Flag,event.espnNGSPlayerMetricsTargetRouteDefender
espnNGSPlayerMetricsTargetRouteClass,GAME_EVENT,ENUM,ESPN NGS Player Metrics Target Route Class,event.espnNGSPlayerMetricsTargetRouteClass
espnNGSPlayerMetricsRunStopWinCountByIL,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Win Count by Interior Line for Play,event.espnNGSPlayerMetricsRunStopWinCountByIL
espnNGSPlayerMetricsRunStopWinCountByED,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Win Count by Edge Defenders for Play,event.espnNGSPlayerMetricsRunStopWinCountByED
espnNGSPlayerMetricsRunStopWinCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Win Count for Play,event.espnNGSPlayerMetricsRunStopWinCount
espnNGSPlayerMetricsRunStopWin,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Win Flag,event.espnNGSPlayerMetricsRunStopWin
espnNGSPlayerMetricsRunStopUnblockedWinCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Unblocked Win Count for Play,event.espnNGSPlayerMetricsRunStopUnblockedWinCount
espnNGSPlayerMetricsRunStopTackleWinCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Tackle Win Count for Play,event.espnNGSPlayerMetricsRunStopTackleWinCount
espnNGSPlayerMetricsRunStopTackleWin,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Tackle Win Flag,event.espnNGSPlayerMetricsRunStopTackleWin
espnNGSPlayerMetricsRunStopPrimaryBlocker,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Primary Blocker,event.espnNGSPlayerMetricsRunStopPrimaryBlocker
espnNGSPlayerMetricsRunStopForceCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Force Count for Play,event.espnNGSPlayerMetricsRunStopForceCount
espnNGSPlayerMetricsRunStopForce,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Force Flag,event.espnNGSPlayerMetricsRunStopForce
espnNGSPlayerMetricsRunStopDoubleTeamCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Double Team Count for Play,event.espnNGSPlayerMetricsRunStopDoubleTeamCount
espnNGSPlayerMetricsRunStopDoubleTeam,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Double Team Flag,event.espnNGSPlayerMetricsRunStopDoubleTeam
espnNGSPlayerMetricsRunStopDisruptionCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Disruption Count for Play,event.espnNGSPlayerMetricsRunStopDisruptionCount
espnNGSPlayerMetricsRunStopDisruption,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Disruption Flag,event.espnNGSPlayerMetricsRunStopDisruption
espnNGSPlayerMetricsRunStopCountByIL,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Count by Interior Line for Play,event.espnNGSPlayerMetricsRunStopCountByIL
espnNGSPlayerMetricsRunStopCountByED,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Count by Edge Defenders for Play,event.espnNGSPlayerMetricsRunStopCountByED
espnNGSPlayerMetricsRunStopCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Count for Play,event.espnNGSPlayerMetricsRunStopCount
espnNGSPlayerMetricsRunStopBlockWinCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Stop Block Win Count for Play,event.espnNGSPlayerMetricsRunStopBlockWinCount
espnNGSPlayerMetricsRunStopBlockWin,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Block Win Flag,event.espnNGSPlayerMetricsRunStopBlockWin
espnNGSPlayerMetricsRunStop,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Stop Flag,event.espnNGSPlayerMetricsRunStop
espnNGSPlayerMetricsRunBlockWinCountByT,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Win Count by Tackles for Play,event.espnNGSPlayerMetricsRunBlockWinCountByT
espnNGSPlayerMetricsRunBlockWinCountByG,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Win Count by Guards for Play,event.espnNGSPlayerMetricsRunBlockWinCountByG
espnNGSPlayerMetricsRunBlockWinCountByC,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Win Count by Center for Play,event.espnNGSPlayerMetricsRunBlockWinCountByC
espnNGSPlayerMetricsRunBlockWinCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Win Count for Play,event.espnNGSPlayerMetricsRunBlockWinCount
espnNGSPlayerMetricsRunBlockWin,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Win Flag,event.espnNGSPlayerMetricsRunBlockWin
espnNGSPlayerMetricsRunBlockWhiffLossCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Whiff Loss Count for Play,event.espnNGSPlayerMetricsRunBlockWhiffLossCount
espnNGSPlayerMetricsRunBlockWhiffLoss,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Whiff Loss Flag,event.espnNGSPlayerMetricsRunBlockWhiffLoss
espnNGSPlayerMetricsRunBlockTklLossCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Tkl Loss Count for Play,event.espnNGSPlayerMetricsRunBlockTklLossCount
espnNGSPlayerMetricsRunBlockTklLoss,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Tkl LossFlag,event.espnNGSPlayerMetricsRunBlockTklLoss
espnNGSPlayerMetricsRunBlockPrimaryTarget,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Primary Target,event.espnNGSPlayerMetricsRunBlockPrimaryTarget
espnNGSPlayerMetricsRunBlockLossCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Loss Count for Play,event.espnNGSPlayerMetricsRunBlockLossCount
espnNGSPlayerMetricsRunBlockLoss,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Loss Flag,event.espnNGSPlayerMetricsRunBlockLoss
espnNGSPlayerMetricsRunBlockForceCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Force Count for Play,event.espnNGSPlayerMetricsRunBlockForceCount
espnNGSPlayerMetricsRunBlockForce,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Force Flag,event.espnNGSPlayerMetricsRunBlockForce
espnNGSPlayerMetricsRunBlockDoubleTeamCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Double Team Count for Play,event.espnNGSPlayerMetricsRunBlockDoubleTeamCount
espnNGSPlayerMetricsRunBlockDoubleTeam,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Double Team Flag,event.espnNGSPlayerMetricsRunBlockDoubleTeam
espnNGSPlayerMetricsRunBlockDisruptionCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Disruption Count for Play,event.espnNGSPlayerMetricsRunBlockDisruptionCount
espnNGSPlayerMetricsRunBlockDisruption,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Disruption Flag,event.espnNGSPlayerMetricsRunBlockDisruption
espnNGSPlayerMetricsRunBlockCountByT,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Count by Tackles for Play,event.espnNGSPlayerMetricsRunBlockCountByT
espnNGSPlayerMetricsRunBlockCountByG,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Count by Guards for Play,event.espnNGSPlayerMetricsRunBlockCountByG
espnNGSPlayerMetricsRunBlockCountByC,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Count by Center for Play,event.espnNGSPlayerMetricsRunBlockCountByC
espnNGSPlayerMetricsRunBlockCount,GAME_EVENT,INT,ESPN NGS Player Metrics Run Block Count for Play,event.espnNGSPlayerMetricsRunBlockCount
espnNGSPlayerMetricsRunBlock,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Run Block Flag,event.espnNGSPlayerMetricsRunBlock
espnNGSPlayerMetricsRouteRun,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Route Run,event.espnNGSPlayerMetricsRouteRun
espnNGSPlayerMetricsRouteR4MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route R4 Max Depth,event.espnNGSPlayerMetricsRouteR4MaxDepth
espnNGSPlayerMetricsRouteR4Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route R4 Jet,event.espnNGSPlayerMetricsRouteR4Jet
espnNGSPlayerMetricsRouteR4GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R4 Group Type Id,event.espnNGSPlayerMetricsRouteR4GroupTypeCode
espnNGSPlayerMetricsRouteR4Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R4 Group,event.espnNGSPlayerMetricsRouteR4Group
espnNGSPlayerMetricsRouteR4DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route R4 Defender Player Id,event.espnNGSPlayerMetricsRouteR4DefenderId
espnNGSPlayerMetricsRouteR4Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R4 Class,event.espnNGSPlayerMetricsRouteR4Class
espnNGSPlayerMetricsRouteR3MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route R3 Max Depth,event.espnNGSPlayerMetricsRouteR3MaxDepth
espnNGSPlayerMetricsRouteR3Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route R3 Jet,event.espnNGSPlayerMetricsRouteR3Jet
espnNGSPlayerMetricsRouteR3GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R3 Group Type Id,event.espnNGSPlayerMetricsRouteR3GroupTypeCode
espnNGSPlayerMetricsRouteR3Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R3 Group,event.espnNGSPlayerMetricsRouteR3Group
espnNGSPlayerMetricsRouteR3DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route R3 Defender Player Id,event.espnNGSPlayerMetricsRouteR3DefenderId
espnNGSPlayerMetricsRouteR3Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R3 Class,event.espnNGSPlayerMetricsRouteR3Class
espnNGSPlayerMetricsRouteR2MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route R2 Max Depth,event.espnNGSPlayerMetricsRouteR2MaxDepth
espnNGSPlayerMetricsRouteR2Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route R2 Jet,event.espnNGSPlayerMetricsRouteR2Jet
espnNGSPlayerMetricsRouteR2GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R2 Group Type Id,event.espnNGSPlayerMetricsRouteR2GroupTypeCode
espnNGSPlayerMetricsRouteR2Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R2 Group,event.espnNGSPlayerMetricsRouteR2Group
espnNGSPlayerMetricsRouteR2DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route R2 Defender Player Id,event.espnNGSPlayerMetricsRouteR2DefenderId
espnNGSPlayerMetricsRouteR2Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R2 Class,event.espnNGSPlayerMetricsRouteR2Class
espnNGSPlayerMetricsRouteR1MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route R1 Max Depth,event.espnNGSPlayerMetricsRouteR1MaxDepth
espnNGSPlayerMetricsRouteR1Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route R1 Jet,event.espnNGSPlayerMetricsRouteR1Jet
espnNGSPlayerMetricsRouteR1GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R1 Group Type Id,event.espnNGSPlayerMetricsRouteR1GroupTypeCode
espnNGSPlayerMetricsRouteR1Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R1 Group,event.espnNGSPlayerMetricsRouteR1Group
espnNGSPlayerMetricsRouteR1DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route R1 Defender Player Id,event.espnNGSPlayerMetricsRouteR1DefenderId
espnNGSPlayerMetricsRouteR1Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R1 Class,event.espnNGSPlayerMetricsRouteR1Class
espnNGSPlayerMetricsRoutePassStrength,GAME_EVENT,ENUM,ESPN NGS Player Metrics Play Route Pass Strength,event.espnNGSPlayerMetricsRoutePassStrength
espnNGSPlayerMetricsRouteOnRightCount,GAME_EVENT,INT,ESPN NGS Player Metrics Receiver Routes on Right Count,event.espnNGSPlayerMetricsRouteOnRightCount
espnNGSPlayerMetricsRouteOnLeftCount,GAME_EVENT,INT,ESPN NGS Player Metrics Receiver Routes on Left Count,event.espnNGSPlayerMetricsRouteOnLeftCount
espnNGSPlayerMetricsRouteL4MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route L4 Max Depth,event.espnNGSPlayerMetricsRouteL4MaxDepth
espnNGSPlayerMetricsRouteL4Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route L4 Jet,event.espnNGSPlayerMetricsRouteL4Jet
espnNGSPlayerMetricsRouteL4GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L4 Group Type Id,event.espnNGSPlayerMetricsRouteL4GroupTypeCode
espnNGSPlayerMetricsRouteL4Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L4 Group,event.espnNGSPlayerMetricsRouteL4Group
espnNGSPlayerMetricsRouteL4DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route L4 Defender Player Id,event.espnNGSPlayerMetricsRouteL4DefenderId
espnNGSPlayerMetricsRouteL4Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L4 Class,event.espnNGSPlayerMetricsRouteL4Class
espnNGSPlayerMetricsRouteL3MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route L3 Max Depth,event.espnNGSPlayerMetricsRouteL3MaxDepth
espnNGSPlayerMetricsRouteL3Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route L3 Jet,event.espnNGSPlayerMetricsRouteL3Jet
espnNGSPlayerMetricsRouteL3GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L3 Group Type Id,event.espnNGSPlayerMetricsRouteL3GroupTypeCode
espnNGSPlayerMetricsRouteL3Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L3 Group,event.espnNGSPlayerMetricsRouteL3Group
espnNGSPlayerMetricsRouteL3DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route L3 Defender Player Id,event.espnNGSPlayerMetricsRouteL3DefenderId
espnNGSPlayerMetricsRouteL3Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L3 Class,event.espnNGSPlayerMetricsRouteL3Class
espnNGSPlayerMetricsRouteL2MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route L2 Max Depth,event.espnNGSPlayerMetricsRouteL2MaxDepth
espnNGSPlayerMetricsRouteL2Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route L2 Jet,event.espnNGSPlayerMetricsRouteL2Jet
espnNGSPlayerMetricsRouteL2GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L2 Group Type Id,event.espnNGSPlayerMetricsRouteL2GroupTypeCode
espnNGSPlayerMetricsRouteL2Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L2 Group,event.espnNGSPlayerMetricsRouteL2Group
espnNGSPlayerMetricsRouteL2DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route L2 Defender Player Id,event.espnNGSPlayerMetricsRouteL2DefenderId
espnNGSPlayerMetricsRouteL2Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L2 Class,event.espnNGSPlayerMetricsRouteL2Class
espnNGSPlayerMetricsRouteL1MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route L1 Max Depth,event.espnNGSPlayerMetricsRouteL1MaxDepth
espnNGSPlayerMetricsRouteL1Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route L1 Jet,event.espnNGSPlayerMetricsRouteL1Jet
espnNGSPlayerMetricsRouteL1GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L1 Group Type Id,event.espnNGSPlayerMetricsRouteL1GroupTypeCode
espnNGSPlayerMetricsRouteL1Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L1 Group,event.espnNGSPlayerMetricsRouteL1Group
espnNGSPlayerMetricsRouteL1DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route L1 Defender Player Id,event.espnNGSPlayerMetricsRouteL1DefenderId
espnNGSPlayerMetricsRouteL1Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route L1 Class,event.espnNGSPlayerMetricsRouteL1Class
espnNGSPlayerMetricsRouteJet,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Route Jet,event.espnNGSPlayerMetricsRouteJet
espnNGSPlayerMetricsRouteGroupWheelCount,GAME_EVENT,INT,Play count of route group: Wheel,event.espnNGSPlayerMetricsRouteGroupWheelCount
espnNGSPlayerMetricsRouteGroupVerticalCount,GAME_EVENT,INT,Play count of route group: Vertical,event.espnNGSPlayerMetricsRouteGroupVerticalCount
espnNGSPlayerMetricsRouteGroupScreenCount,GAME_EVENT,INT,Play count of route group: Screen,event.espnNGSPlayerMetricsRouteGroupScreenCount
espnNGSPlayerMetricsRouteGroupPivotCount,GAME_EVENT,INT,Play count of route group: Pivot,event.espnNGSPlayerMetricsRouteGroupPivotCount
espnNGSPlayerMetricsRouteGroupOutsideShortCount,GAME_EVENT,INT,Play count of route group: Outside-short,event.espnNGSPlayerMetricsRouteGroupOutsideShortCount
espnNGSPlayerMetricsRouteGroupOutsideDeepCount,GAME_EVENT,INT,Play count of route group: Outside-deep,event.espnNGSPlayerMetricsRouteGroupOutsideDeepCount
espnNGSPlayerMetricsRouteGroupNaCount,GAME_EVENT,INT,Play count of route group: NA,event.espnNGSPlayerMetricsRouteGroupNaCount
espnNGSPlayerMetricsRouteGroupInsideShortCount,GAME_EVENT,INT,Play count of route group: Inside-short,event.espnNGSPlayerMetricsRouteGroupInsideShortCount
espnNGSPlayerMetricsRouteGroupInsideDeepCount,GAME_EVENT,INT,Play count of route group: Inside-deep,event.espnNGSPlayerMetricsRouteGroupInsideDeepCount
espnNGSPlayerMetricsRouteGroupHookCount,GAME_EVENT,INT,Play count of route group: Hook,event.espnNGSPlayerMetricsRouteGroupHookCount
espnNGSPlayerMetricsRouteGroupDoubleCount,GAME_EVENT,INT,Play count of route group: Double,event.espnNGSPlayerMetricsRouteGroupDoubleCount
espnNGSPlayerMetricsRouteGroupCrossingCount,GAME_EVENT,INT,Play count of route group: Crossing,event.espnNGSPlayerMetricsRouteGroupCrossingCount
espnNGSPlayerMetricsRouteDefendedJet,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Route Defended Jet,event.espnNGSPlayerMetricsRouteDefendedJet
espnNGSPlayerMetricsRouteDefended,GAME_EVENT_ENTITY,FLAG,ESPN NGS Player Metrics Route Defended,event.espnNGSPlayerMetricsRouteDefended
espnNGSPlayerMetricsRouteCount,GAME_EVENT,INT,ESPN NGS Player Metrics Receiver Route Count,event.espnNGSPlayerMetricsRouteCount
espnNGSPlayerMetricsRouteClassWhipCount,GAME_EVENT,INT,Play count of route class: Whip,event.espnNGSPlayerMetricsRouteClassWhipCount
espnNGSPlayerMetricsRouteClassWheelCount,GAME_EVENT,INT,Play count of route class: Wheel,event.espnNGSPlayerMetricsRouteClassWheelCount
espnNGSPlayerMetricsRouteClassSwingCount,GAME_EVENT,INT,Play count of route class: Swing,event.espnNGSPlayerMetricsRouteClassSwingCount
espnNGSPlayerMetricsRouteClassSpeedOutCount,GAME_EVENT,INT,Play count of route class: Speed Out,event.espnNGSPlayerMetricsRouteClassSpeedOutCount
espnNGSPlayerMetricsRouteClassSmashCount,GAME_EVENT,INT,Play count of route class: Smash,event.espnNGSPlayerMetricsRouteClassSmashCount
espnNGSPlayerMetricsRouteClassSluggoCount,GAME_EVENT,INT,Play count of route class: Sluggo,event.espnNGSPlayerMetricsRouteClassSluggoCount
